id,code,name,district_id:id
neighborhood_Amón_Carmen_San_José_SJ,01,Amón,district_Carmen_San_José_SJ
neighborhood_Aranjuez_Carmen_San_José_SJ,02,Aranjuez,district_Carmen_San_José_SJ
neighborhood_California_(parte)_Carmen_San_José_SJ,03,California (Parte),district_Carmen_San_José_SJ
neighborhood_Carmen_Carmen_San_José_SJ,04,Carmen,district_Carmen_San_José_SJ
neighborhood_Empalme_Carmen_San_José_SJ,05,Empalme,district_Carmen_San_José_SJ
neighborhood_Escalante_Carmen_San_José_SJ,06,Escalante,district_Carmen_San_José_SJ
neighborhood_Otoya__Carmen_San_José_SJ,07,Otoya,district_Carmen_San_José_SJ
neighborhood_cr_10101_08,08,El Carmen,district_Carmen_San_José_SJ
neighborhood_cr_10101_09,09,La California,district_Carmen_San_José_SJ
neighborhood_cr_10101_10,10,Morazan,district_Carmen_San_José_SJ
neighborhood_cr_10101_11,11,Santa Teresita,district_Carmen_San_José_SJ
neighborhood_Bajos_de_la_Unión_Merced_San_José_SJ,01,Bajos de la Unión,district_Merced_San_José_SJ
neighborhood_Claret_Merced_San_José_SJ,02,Claret,district_Merced_San_José_SJ
neighborhood_Cocacola_Merced_San_José_SJ,03,Coca Cola,district_Merced_San_José_SJ
neighborhood_Iglesias_Flores_Merced_San_José_SJ,04,Iglesias Flores,district_Merced_San_José_SJ
neighborhood_Mantica_Merced_San_José_SJ,05,Mantica,district_Merced_San_José_SJ
neighborhood_cr_10102_06,06,Merced,district_Merced_San_José_SJ
neighborhood_México_Merced_San_José_SJ,07,México,district_Merced_San_José_SJ
neighborhood_Paso_de_la_Vaca_Merced_San_José_SJ,08,Paso de la Vaca,district_Merced_San_José_SJ
neighborhood_Pitahaya__Merced_San_José_SJ,09,Pitahaya,district_Merced_San_José_SJ
neighborhood_cr_10102_10,10,La Coca Cola,district_Merced_San_José_SJ
neighborhood_cr_10102_11,11,La Union,district_Merced_San_José_SJ
neighborhood_cr_10102_12,12,Las Latas,district_Merced_San_José_SJ
neighborhood_cr_10102_13,13,Las Luisas,district_Merced_San_José_SJ
neighborhood_cr_10102_14,14,Segovia,district_Merced_San_José_SJ
