id,code_old,code,name,description,active,sale_type
l10n_cr_ticofac.activity_11102,11102,0126.1,CULTIVO DE PALMA AFRICANA Y OTROS FRUTOS OLEAGINOSOS,"ESTA CLASE COMPRENDE EL CULTIVO DE FRUTOS OLEAGINOSOS COMO: PALMAS DE ACEITES, OLIVOS (ACEITUNAS), COCOS Y OTROS FRUTOS OLEAGINOSOS. NO SE INCLUYE EL CULTIVO DE SEMILLAS OLEAGINOSAS, VEASE EL CODIGO 11322",False,goods
l10n_cr_ticofac.activity_11103,11103,0130.0,CULTIVO Y COMERCIALIZACION DE CESPED,EN ESTA CLASESE INCLUYE EL CULTIVO Y COMERCIALIZACION DE TODA VARIEDAD DE CESPED O ZACATE DECORATIVO,False,goods
l10n_cr_ticofac.activity_11201,11201,0111.9,CULTIVO HORTALIZAS LEGUMBRES ESPECIALIDADES HORTICOLAS PRODUCTOS DE VIVERO EXCENTO DE VENTAS,"EN ESTA CLASE SE INCLUYEN LOS CULTIVOS AL AIRE LIBRE Y BAJO TECHADO DE: HORTALIZAS Y LEGUMBRES;COMO POR EJEMPLO MELONES, MAIZ DULCE; CALABAZAS; PEPINOS, TOMATES,PRODUCCION DE ESPECIALIDADES HORTICOLAS, INCLUSO SEMILLAS DE FLORES, FRUTAS Y HORTALIZAS; ESQUEJES SIN RAICES; BULBOS, TUBERCULOS, RAICES TUBEROSAS, CEBOLLAS, BROTES Y RIZOMAS; TODO LO ANTERIOR INCLUIDOS EN LA NUEVA CANASTA BASICA (DECRETO NO. 37132-H)",False,goods
l10n_cr_ticofac.activity_11218,11218,0113.9,PRODUCCION DE MINIVEGETALES,EN ESTA CLASE SE INCLUYE LA PRODUCCION DE MINIVEGETALES,False,goods
l10n_cr_ticofac.activity_11231,11231,0111.9,CULTIVO HORTALIZAS LEGUMBRES ESPECIALIDADES HORTICOLAS PRODUCTOS VIVERO GRABADOS VENTAS,"EN ESTA CLASE SE INCLUYEN LOS CULTIVOS AL AIRE LIBRE Y BAJO TECHADO DE HORTALIZAS Y LEGUMBRES NO INCLUIDOS EN LA NUEVA CANASTA BASICA (DECRETO NO. 37132-H) ASI COMO EL CULTIVO Y RECOLECCION DE HONGOS, TRUFAS, ACEITUNAS, ALCAPARRAS, PEREJIL. CULTIVO DE PLANTAS QUE DAN FLORES Y CAPULLOS.CULTIVO DE PLANTAS PARA TRASPLANTE Y PARA ORNAMENTACION",False,goods
l10n_cr_ticofac.activity_11301,11301,0128.0,CULTIVO DE ESPECIAS DE TODO TIPO,"EN ESTA CLASE SE INCLUYE EL CULTIVO DE ESPECIAS DE HOJA COMO LAUREL, TOMILLO, ALBAHACA, OREGANO, ETC., ESPECIAS DE SEMILLA COMO ANIS Y COMINO Y ESPECIAS DE FLOR COMO CANELA, CLAVO DE OLOR Y OTRAS ESPECIES COMO NUEZ MOSCADA Y JENGIBRE, ACHIOTE Y PIMIENTA.",False,goods
l10n_cr_ticofac.activity_11302,11302,0122.9,CULTIVO DE FRUTAS,"EN ESTA CLASE SE INCLUYE EL CULTIVO DE FRUTAS N.C.P. TALES COMO AGUACATE, ANONA, CAIMITO, CARAMBOLA, CAS, GUANABANA, GUAYABA, LIMO DE TODO TIPO, MANZANA(SOLO DE AGUA Y ROSA), SANDIA, TAMARINDO, ETC",False,goods
l10n_cr_ticofac.activity_11322,11322,0125.0,CULTIVO DE SEMILLAS COMESTIBLES Y GERMINACION DE SEMILLAS OLEAGINOSAS,"EN ESTA CLASE SE INCLUYE EL CULTIVO DE NUECES Y SEMILLAS COMESTIBLES COMO EL MANI, MACADAMIA Y ALMENDRAS ENTRE OTROS. ADEMAS, LA GERMINACION DE SEMILLAS OLEAGINOSAS (PALMA ACEITERA).",False,goods
l10n_cr_ticofac.activity_11329,11329,0127.9,CULTIVO DE PLANTAS PARA PREPARAR BEBIDAS Y MEDICINAS,"EN ESTA CLASE SE INCLUYE EL CULTIVO DE PLANTAS DE CUYAS HOJAS SE PREPARAN BEBIDAS COMO TE, MANZANILLA, MENTA, HIERBABUENA. SE INCLUYE TAMBIEN EL CULTIVO DE PLANTAS MEDICINALES.",False,goods
l10n_cr_ticofac.activity_11340,11340,0122.3,CULTIVO DE PIÑA,ESTA ACTIVIDAD INCLUYE EL CULTIVO DE DIVERSAS CLASES DE PIÑA,False,goods
l10n_cr_ticofac.activity_11349,11349,0127.9,CULTIVO DE CACAO,EN ESTA CLASE SE INCLUYE EL CULTIVO DE CACAO,False,goods
l10n_cr_ticofac.activity_11401,11401,0127.1,CULTIVO DE CAFE,EN ESTA CLASE SE INCLUYE EL CULTIVO DEL CAFE,False,goods
l10n_cr_ticofac.activity_11501,11501,0122.1,CULTIVO DE BANANO,"EN ESTA CLASE SE INCLUYE EL CULTIVO DEL BANANO DE TODO TIPO, YA SEA PARA EXPORTACION O CONSUMO LOCAL.",False,goods
l10n_cr_ticofac.activity_11701,11701,0114.0,CULTIVO DE CAÑA DE AZUCAR,EN ESTA CLASE SE INCLUYE EL CULTIVO DE CAÑA DE AZUCAR.,False,goods
l10n_cr_ticofac.activity_11802,11802,0111.9,"CULTIVO DE CEREALES (INCLUSIVE EL ARROZ), LEGUMBRES Y GRANOS BASICOS","EN ESTA CLASE SE INCLUYEN LOS SIGUIENTES CEREALES: ARROZ, TRIGO, MAIZ, SORGO, CEBADA, AVENA, MIJO, OTROS CEREALES N.C.P; LEGUMINOSAS: FRIJOLES, GARBANZOS, LENTEJAS, HABAS, GUISANTES, OTRAS LEGUMINOSAS; SEMILLAS: LINAZA, MOSTAZA, NIGER, COLZA, CARTAMO, SESAMO, GIRASOL, OTRAS SEMILLAS.",False,goods
l10n_cr_ticofac.activity_11901,11901,0119.1,CULTIVO DE FLORES DE TODO TIPO,"EN ESTA CLASE SE INCLUYE LA PRODUCCION DE FLORES VIVAS PARA VENDER O COMERCIALIZAR SIN NINGUN TIPO DE PROCESAMIENTO; POR EJEMPLO: EL CULTIVO DE AMAPOLAS, FLORESTROPICALES EXOTICAS, ANTURIOS, ORQUIDEAS, HELECHOS, AVES DEL PARAISO, AZALIAS,CACTUS ORNAMENTALES, CALAS, CLAVELES, MARGINATA, ESPARRAGO,GERANIOS ENTRE OTRAS;ESTA GRAVADA EN EL IMPUESTO DE VENTAS SEGUN EL ARTICULO 4 DE LA LEY DEL IMPUESTOGENERAL SOBRE LAS VENTAS Y SUS REFORMAS Y EL ARTICULO 5 DE SU REGLAMENTO Y SUSREFORMAS. TAMBIEN EN CONCORDANCIA CON EL DECRETO EJECUTIVO 37132-H DE 17/05/2012",False,goods
l10n_cr_ticofac.activity_11903,11903,0130.0,VIVEROS,"SE REFIERE A LA VENTA DE TODO TIPO DE PLANTAS VIVAS, ACCESORIOS E IMPLEMENTOS GRAVADOS EN EL IMPUESTO DE VENTAS.",False,goods
l10n_cr_ticofac.activity_11907,11907,4781.0,PEQUENOS PRODUCTORES AGRICOLAS,"EN ESTA CLASE SE INCLUYEN LOS PEQUENOS PRODUCTORES AGRICOLAS QUE VENDEN SUS PRODUCTOS EXCLUSIVAMENTE AL CONSUMIDOR FINAL Y POR MEDIO DE LAS FERIAS DEL AGRICULTOR, QUE CUMPLEN CON LOS REQUISITOS QUE ESTABLECE LA LEY N 8533 DEL 18 DE JULIO DE 2006, DENOMINADA “LEY DE REGULACION DELAS FERIAS DEL AGRICULTOR” Y SU REGLAMENTO Y QUE CUENTAN CON CARNE VIGENTE PARA PARTICIPAR EN DICHAS FERIAS.",False,goods
l10n_cr_ticofac.activity_12101,12101,0142.0,CRIA DE CABALLOS Y OTROS EQUINOS,"EN ESTA CLASE SE INCLUYE LA CRIA Y REPRODUCCION DE CABALLOS, BURROS, MULOS Y BURDEGANOS.",False,goods
l10n_cr_ticofac.activity_12102,12102,0141.9,"PRODUCCION DE SEMEN BOVINO, VENTA DE SEMEN CONGELADO Y DILUYENTE PARA SEMEN","ESTA CLASE INCLUYE LA PRODUCCION DE SEMEN BOVINO Y SEGUN EL ARTICULO 5 DEL REGLAMENTO DE LA LEY DEL IMPUESTO GENERAL SOBRE LAS VENTAS SE ENCUENTRA COMO EXENTO, DENTRO DE LOS PRODUCTOS VETERINARIOS, EL ""SEMEN CONGELADO Y DILUYENTE PARA SEMEN",False,goods
l10n_cr_ticofac.activity_12103,12103,0144.0,"CRIA DE ANIMALES DOMESTICOS COMO: GANADO VACUNO , OVEJAS Y CABRAS","ESTA CLASE INCLUYE LA CRIA DE ANIMALES DOMESTICADOS, COMO GANADO VACUNO, OVEJAS,CABRAS. CRIA DE GANADO REPRODUCTOR Y SERVICIO DE ENGORDE DEL GANADO DE CORRALES. PRODUCCION DE LECHE CRUDA Y SEMEN BOVINO ESQUILA DE OVEJAS POR EL PROPIETARIO DEL REBANO. EXCLUSIONES: EL ALBERGUE, CUIDA DO Y REPRODUCCION DE GANADO. LA ESQUILA DE OVEJAS POR CONTRATO O A CAMBIO DE UNA RETRIBUCION, LA LANA DE MATADERO. LA ELABORACION DE LECHE FUERA DEL ESTABLECIMIENTO. LA CRIA DE CABALLOS Y OTROS EQUINOS SE INCLUYE EN LA ACTIVIDAD 012101.",False,goods
l10n_cr_ticofac.activity_12201,12201,0145.0,CRIA DE CERDOS,CRIA DE CERDOS (ANIMALES DOMESTICADOS),False,goods
l10n_cr_ticofac.activity_12202,12202,0146.9,CRIA DE ANIMALES DOMESTICADOS (AVES DE CORRAL),"CRIA DE ANIMALES DOMESTICADOS (AVES DE CORRAL, TALES COMO LOS POLLOS, PAVOS, PATOS, GANSOS, EL FAISAN, LA CODORNIZ Y OTRAS ESPECIES EMPARENTADAS)",False,goods
